starred;authors;titleofpublication;typeofcontribution;conference;acronym;location;yearofpublication;dates;doiorwebaddress;presented;isse;issec;isai;report
0;Panagiotis Symeonidis, Andrea Janes, Dmitry Chaltsev, Philip Giuliani, Daniel Morandini, Andreas Unterhuber, Ludovik Coba, \& Markus Zanker;Recommending the Video to Watch Next: An Offline and Online Evaluation at YOUTV.de;Conference paper;14th ACM Conference on Recommender Systems;RECSYS;Virtual;2020;September 22--26;https://doi.org/10.1145/3383313.3412257;0;;;1;0
0;Iustina Ivanova, Marina Andri\'{c}, Andrea Janes, Francesco Ricci, \& Floriano Zini;Climbing Activity Recognition and Measurement with Sensor Data Analysis;Conference paper;International Conference on Multimodal Interaction;ICMI;Virtual;2020;October 25--29;https://doi.org/10.1145/3395035.3425303;0;;;1;0
0;Iustina Ivanova, Marina Andri\'{c}, Sadaf Moaveninejad, Andrea Janes, Francesco Ricci;Video and Sensor-Based Rope Pulling Detection in Sport Climbing;Workshop paper;3rd International Workshop on Multimedia Content Analysis in Sports;MMSports;Seattle, WA, USA;2020;October 16;https://doi.org/10.1145/3422844.3423058;0;;;1;0
0;Alberto Avritzer, Ricardo Britto, Catia Trubiani, Barbara Russo, Andrea Janes, Matteo Camilli, André van Hoorn, Robert Heinrich, Martina Rapp \& Jörg Henß;A Multivariate Characterization and Detection of Software Performance Antipatterns;Conference paper;ACM/SPEC International Conference on Performance Engineering;ICPE;Virtual;2021;April 19--23;https://doi.org/10.1145/3427921.3450246;1;1;1;1;0
0;Alberto Avritzer, Matteo Camilli, Andrea Janes, Barbara Russo, Catia Trubiani, André van Hoorn, Jasmin Jahić \& Ricardo Britto;PPTAM$^\lambda$: What, Where, and How of Cross-domain Scalability Assessment;Conference paper;18th International Conference on Software Architecture;ICSA;Stuttgart, Germany;2021;March 22--26;https://doi.org/10.1109/ICSA-C52384.2021.00016;1;1;;;0
0;Hlib Babii, Julian Aron Prenner, Laurin Stricker, Anjan Karmakar, Andrea Janes, \& Romain Robbes;Mining Software Repositories with a Collaborative Heuristic Repository;Conference paper;43rd International Conference on Software Engineering: New Ideas and Emerging Results;ICSE-NIER;Madrid, Spain;2021;May 25--28;https://doi.org/10.1109/ICSE-NIER52604.2021.00030;0;1;;;0
0;Giuseppe Di Fatta, Andrea Janes, Paola Lecca, Fabrizio Maria Maggi, Marco Montali, \& Floriano Zini;AI for Medicine and Health @ Bozen-Bolzano;Workshop paper;Convegno Nazionale CINI sull'In\-telligenza Artificiale: Workshop AI per la Medicina e la Salute;Ital-IA;Torino, Italy;2022;February 10;;0;;;1;0
0;Tim Kreuzer, Andrea Janes;Introducing Data Science Techniques into a Company Producing Electrical Appliances;Workshop paper;33rd International Conference on Database and Expert Systems Applications Workshops;DEXA;Vienna, Austria;2022;August 22--24;https://link.springer.com/chapter/10.1007/978-3-031-14343-4\_20;1;;;1;0
0;Matteo Camilli, Antonio Guerriero, Andrea Janes, Barbara Russo, Stefano Russo;Microservices Integrated Performance and Reliability Testing;Conference paper;IEEE/ACM International Conference on Automation of Software Test;AST;Pittsburgh, PA, USA;2022;May 21--22;https://doi.org/10.1145/3524481.3527233;1;1;1;;0
0;Roberto Confalonieri, Andrea Janes;A Technology Transfer Portal to Promote Industry-Academia Collaboration in South-Tyrol;Workshop paper;33rd International Conference on Database and Expert Systems Applications Workshops;DEXA;Vienna, Austria;2022;August 22--24;https://doi.org/10.1007/978-3-031-14343-4_21;1;;;;0
0;Dario Amoroso d'Aragona, Fabiano Pecorelli, Simone Romano, Giuseppe Scanniello, Maria Teresa Baldassarre, Andrea Janes, \& Valentina Lenarduzzi;CATTO: Just-in-time Test Case Selection and Execution;Tool demonstration;38th IEEE International Conference on Software Maintenance and Evolution;ICSME;Limassol, Cyprus;2022;October 02-07;https://doi.org/10.1109/ICSME55016.2022.00059;1;1;1;;0
0;James Cusick, Alberto Avritzer, Allen Tse, \& Andrea Janes;Automated Dependability Assessment in DevOps Environments;Workshop paper;2022 IEEE International Symposium on Software Reliability Engineering Workshops;ISSREW;Charlotte, North Carolina, USA;2022;October 31 -- November 3;https://doi.org/10.1109/ISSREW55968.2022.00046;1;1;1;;0
0;Stefano Savian, Pietro Morerio, Alessio Delbue, Andrea Janes, \& Tammam Tillo;Towards Equivariant Optical Flow Estimation with Deep Learning;Conference paper;IEEE/CVF Winter Conference on Applications of Computer Vision;WACV;Waikoloa, Hawaii, USA;2023;January 3--7;https://doi.org/10.1109/WACV56688.2023.00506;0;;;1;0
0;Alberto Avritzer, Matteo Camilli, Andrea Janes, Barbara Russo, Catia Trubiani, \& André Van Hoorn;Continuous Dependability Assessment of Microservice Systems (in press);Conference (tutorial) paper;16th European Conference on Software Architecture;ECSA;Prague, Czech Republic;2023;September 19--23;;0;1;1;;0
0;Dario Amoroso d’Aragona, Luca Pascarella, Andrea Janes, Valentina Lenarduzzi, \& Davide Taibi;Microservice Logical Coupling: a Preliminary Validation (in press);Conference paper;20th IEEE International Conference on Software Architecture;ICSA;L'Aquila, Italy;2023;March 13--17;;0;1;;;0
0;Domenico Gigante, Fabiano Pecorelli, Vita Santa Barletta, Andrea Janes, Valentina Lenarduzzi, Davide Taibi \& Maria Teresa Baldassarre;Resolving Security Issues via Quality-Oriented Refactoring: A User Study (in press);Conference paper;International Conference on Technical Debt;TechDebt;Melbourne, Australia;2023;May 14--15;;0;1;1;;0
